TIMESERIES	ts_period	ts_duration_of_tp	ts_num_tps	ts_scale_to_period
2018_2018-02-01	2016	4.0	6	912.5
2018_2018-02-09	2016	4.0	6	912.5
2023_2023-05-04	2021	4.0	6	912.5
2023_2023-05-07	2021	4.0	6	912.5
2028_2028-06-04	2026	4.0	6	912.5
2028_2028-06-10	2026	4.0	6	912.5
2033_2033-07-09	2031	4.0	6	912.5
2033_2033-07-21	2031	4.0	6	912.5
2038_2038-09-01	2036	4.0	6	912.5
2038_2038-09-10	2036	4.0	6	912.5
