GENERATION_PROJECT	build_year	gen_overnight_cost	gen_fixed_om	gen_storage_energy_overnight_cost
36	2036	1500000.0	7500.0	.
37	2016	1665685.4	8328.4	.
37	2021	1500000.0	7500.0	.
37	2026	1500000.0	7500.0	.
37	2031	1500000.0	7500.0	.
37	2036	1500000.0	7500.0	.
38	2016	1665685.4	8328.4	.
38	2021	1500000.0	7500.0	.
38	2026	1500000.0	7500.0	.
38	2031	1500000.0	7500.0	.
38	2036	1500000.0	7500.0	.
39	2016	1665685.4	8328.4	.
39	2021	1500000.0	7500.0	.
39	2026	1500000.0	7500.0	.
39	2031	1500000.0	7500.0	.
39	2036	1500000.0	7500.0	.
40	2016	1665685.4	8328.4	.
40	2021	1500000.0	7500.0	.
40	2026	1500000.0	7500.0	.
40	2031	1500000.0	7500.0	.
40	2036	1500000.0	7500.0	.
41	2016	1665685.4	8328.4	.
41	2021	1500000.0	7500.0	.
41	2026	1500000.0	7500.0	.
41	2031	1500000.0	7500.0	.
41	2036	1500000.0	7500.0	.
42	2016	1665685.4	8328.4	.
42	2021	1500000.0	7500.0	.
42	2026	1500000.0	7500.0	.
42	2031	1500000.0	7500.0	.
42	2036	1500000.0	7500.0	.
43	2016	1665685.4	8328.4	.
43	2021	1500000.0	7500.0	.
43	2026	1500000.0	7500.0	.
43	2031	1500000.0	7500.0	.
43	2036	1500000.0	7500.0	.
44	2016	1665685.4	8328.4	.
44	2021	1500000.0	7500.0	.
44	2026	1500000.0	7500.0	.
44	2031	1500000.0	7500.0	.
44	2036	1500000.0	7500.0	.
45	2016	1665685.4	8328.4	.
45	2021	1500000.0	7500.0	.
45	2026	1500000.0	7500.0	.
45	2031	1500000.0	7500.0	.
45	2036	1500000.0	7500.0	.
46	2016	1665685.4	8328.4	.
46	2021	1500000.0	7500.0	.
46	2026	1500000.0	7500.0	.
46	2031	1500000.0	7500.0	.
46	2036	1500000.0	7500.0	.
47	2016	1665685.4	8328.4	.
47	2021	1500000.0	7500.0	.
47	2026	1500000.0	7500.0	.
47	2031	1500000.0	7500.0	.
47	2036	1500000.0	7500.0	.
48	2016	1665685.4	8328.4	.
48	2021	1500000.0	7500.0	.
48	2026	1500000.0	7500.0	.
48	2031	1500000.0	7500.0	.
48	2036	1500000.0	7500.0	.
49	2016	1665685.4	8328.4	.
49	2021	1500000.0	7500.0	.
49	2026	1500000.0	7500.0	.
49	2031	1500000.0	7500.0	.
49	2036	1500000.0	7500.0	.
50	2016	1665685.4	8328.4	.
50	2021	1500000.0	7500.0	.
50	2026	1500000.0	7500.0	.
50	2031	1500000.0	7500.0	.
50	2036	1500000.0	7500.0	.
51	2016	1665685.4	8328.4	.
51	2021	1500000.0	7500.0	.
51	2026	1500000.0	7500.0	.
51	2031	1500000.0	7500.0	.
51	2036	1500000.0	7500.0	.
52	2016	1665685.4	8328.4	.
52	2021	1500000.0	7500.0	.
52	2026	1500000.0	7500.0	.
52	2031	1500000.0	7500.0	.
52	2036	1500000.0	7500.0	.
53	2016	1665685.4	8328.4	.
53	2021	1500000.0	7500.0	.
53	2026	1500000.0	7500.0	.
53	2031	1500000.0	7500.0	.
53	2036	1500000.0	7500.0	.
54	2016	1665685.4	8328.4	.
54	2021	1500000.0	7500.0	.
54	2026	1500000.0	7500.0	.
54	2031	1500000.0	7500.0	.
54	2036	1500000.0	7500.0	.
55	2016	1665685.4	8328.4	.
55	2021	1500000.0	7500.0	.
55	2026	1500000.0	7500.0	.
55	2031	1500000.0	7500.0	.
55	2036	1500000.0	7500.0	.
56	2016	1665685.4	8328.4	.
56	2021	1500000.0	7500.0	.
56	2026	1500000.0	7500.0	.
56	2031	1500000.0	7500.0	.
56	2036	1500000.0	7500.0	.
57	2016	1665685.4	8328.4	.
57	2021	1500000.0	7500.0	.
57	2026	1500000.0	7500.0	.
57	2031	1500000.0	7500.0	.
57	2036	1500000.0	7500.0	.
58	2016	1665685.4	8328.4	.
58	2021	1500000.0	7500.0	.
58	2026	1500000.0	7500.0	.
58	2031	1500000.0	7500.0	.
58	2036	1500000.0	7500.0	.
59	2016	1665685.4	8328.4	.
59	2021	1500000.0	7500.0	.
59	2026	1500000.0	7500.0	.
59	2031	1500000.0	7500.0	.
59	2036	1500000.0	7500.0	.
60	2016	1665685.4	8328.4	.
60	2021	1500000.0	7500.0	.
60	2026	1500000.0	7500.0	.
60	2031	1500000.0	7500.0	.
60	2036	1500000.0	7500.0	.
61	2016	1665685.4	8328.4	.
61	2021	1500000.0	7500.0	.
61	2026	1500000.0	7500.0	.
61	2031	1500000.0	7500.0	.
61	2036	1500000.0	7500.0	.
62	2016	1665685.4	8328.4	.
62	2021	1500000.0	7500.0	.
62	2026	1500000.0	7500.0	.
62	2031	1500000.0	7500.0	.
62	2036	1500000.0	7500.0	.
63	2016	1665685.4	8328.4	.
63	2021	1500000.0	7500.0	.
63	2026	1500000.0	7500.0	.
63	2031	1500000.0	7500.0	.
63	2036	1500000.0	7500.0	.
64	2016	1665685.4	8328.4	.
64	2021	1500000.0	7500.0	.
64	2026	1500000.0	7500.0	.
64	2031	1500000.0	7500.0	.
64	2036	1500000.0	7500.0	.
65	2016	1665685.4	8328.4	.
65	2021	1500000.0	7500.0	.
65	2026	1500000.0	7500.0	.
65	2031	1500000.0	7500.0	.
65	2036	1500000.0	7500.0	.
66	2016	1665685.4	8328.4	.
66	2021	1500000.0	7500.0	.
66	2026	1500000.0	7500.0	.
66	2031	1500000.0	7500.0	.
66	2036	1500000.0	7500.0	.
67	2016	1665685.4	8328.4	.
67	2021	1500000.0	7500.0	.
67	2026	1500000.0	7500.0	.
67	2031	1500000.0	7500.0	.
67	2036	1500000.0	7500.0	.
68	2016	1665685.4	8328.4	.
68	2021	1500000.0	7500.0	.
68	2026	1500000.0	7500.0	.
68	2031	1500000.0	7500.0	.
68	2036	1500000.0	7500.0	.
69	2016	1665685.4	8328.4	.
69	2021	1500000.0	7500.0	.
69	2026	1500000.0	7500.0	.
69	2031	1500000.0	7500.0	.
69	2036	1500000.0	7500.0	.
70	2016	1665685.4	8328.4	.
70	2021	1500000.0	7500.0	.
70	2026	1500000.0	7500.0	.
70	2031	1500000.0	7500.0	.
70	2036	1500000.0	7500.0	.
71	2016	1665685.4	8328.4	.
71	2021	1500000.0	7500.0	.
71	2026	1500000.0	7500.0	.
71	2031	1500000.0	7500.0	.
71	2036	1500000.0	7500.0	.
72	2016	1665685.4	8328.4	.
72	2021	1500000.0	7500.0	.
72	2026	1500000.0	7500.0	.
72	2031	1500000.0	7500.0	.
72	2036	1500000.0	7500.0	.
73	2016	1665685.4	8328.4	.
73	2021	1500000.0	7500.0	.
73	2026	1500000.0	7500.0	.
73	2031	1500000.0	7500.0	.
73	2036	1500000.0	7500.0	.
74	2016	1665685.4	8328.4	.
74	2021	1500000.0	7500.0	.
74	2026	1500000.0	7500.0	.
74	2031	1500000.0	7500.0	.
74	2036	1500000.0	7500.0	.
75	2016	1665685.4	8328.4	.
75	2021	1500000.0	7500.0	.
75	2026	1500000.0	7500.0	.
75	2031	1500000.0	7500.0	.
75	2036	1500000.0	7500.0	.
76	2016	1665685.4	8328.4	.
76	2021	1500000.0	7500.0	.
76	2026	1500000.0	7500.0	.
76	2031	1500000.0	7500.0	.
76	2036	1500000.0	7500.0	.
77	2016	1665685.4	8328.4	.
77	2021	1500000.0	7500.0	.
77	2026	1500000.0	7500.0	.
77	2031	1500000.0	7500.0	.
77	2036	1500000.0	7500.0	.
78	2016	1665685.4	8328.4	.
78	2021	1500000.0	7500.0	.
78	2026	1500000.0	7500.0	.
78	2031	1500000.0	7500.0	.
78	2036	1500000.0	7500.0	.
79	2016	1665685.4	8328.4	.
79	2021	1500000.0	7500.0	.
79	2026	1500000.0	7500.0	.
79	2031	1500000.0	7500.0	.
79	2036	1500000.0	7500.0	.
80	2016	1665685.4	8328.4	.
80	2021	1500000.0	7500.0	.
80	2026	1500000.0	7500.0	.
80	2031	1500000.0	7500.0	.
80	2036	1500000.0	7500.0	.
81	2016	1665685.4	8328.4	.
81	2021	1500000.0	7500.0	.
81	2026	1500000.0	7500.0	.
81	2031	1500000.0	7500.0	.
81	2036	1500000.0	7500.0	.
82	2016	1665685.4	8328.4	.
82	2021	1500000.0	7500.0	.
82	2026	1500000.0	7500.0	.
82	2031	1500000.0	7500.0	.
82	2036	1500000.0	7500.0	.
83	2016	1665685.4	8328.4	.
83	2021	1500000.0	7500.0	.
83	2026	1500000.0	7500.0	.
83	2031	1500000.0	7500.0	.
83	2036	1500000.0	7500.0	.
84	2016	1665685.4	8328.4	.
84	2021	1500000.0	7500.0	.
84	2026	1500000.0	7500.0	.
84	2031	1500000.0	7500.0	.
84	2036	1500000.0	7500.0	.
85	2016	1665685.4	8328.4	.
85	2021	1500000.0	7500.0	.
85	2026	1500000.0	7500.0	.
85	2031	1500000.0	7500.0	.
85	2036	1500000.0	7500.0	.
86	2016	1665685.4	8328.4	.
86	2021	1500000.0	7500.0	.
86	2026	1500000.0	7500.0	.
86	2031	1500000.0	7500.0	.
86	2036	1500000.0	7500.0	.
87	2016	1665685.4	8328.4	.
87	2021	1500000.0	7500.0	.
87	2026	1500000.0	7500.0	.
87	2031	1500000.0	7500.0	.
87	2036	1500000.0	7500.0	.
88	2016	1665685.4	8328.4	.
88	2021	1500000.0	7500.0	.
88	2026	1500000.0	7500.0	.
88	2031	1500000.0	7500.0	.
88	2036	1500000.0	7500.0	.
89	2016	1665685.4	8328.4	.
89	2021	1500000.0	7500.0	.
89	2026	1500000.0	7500.0	.
89	2031	1500000.0	7500.0	.
89	2036	1500000.0	7500.0	.
90	2016	1665685.4	8328.4	.
90	2021	1500000.0	7500.0	.
90	2026	1500000.0	7500.0	.
90	2031	1500000.0	7500.0	.
90	2036	1500000.0	7500.0	.
91	2016	1665685.4	8328.4	.
91	2021	1500000.0	7500.0	.
91	2026	1500000.0	7500.0	.
91	2031	1500000.0	7500.0	.
91	2036	1500000.0	7500.0	.
92	2016	1665685.4	8328.4	.
92	2021	1500000.0	7500.0	.
92	2026	1500000.0	7500.0	.
92	2031	1500000.0	7500.0	.
92	2036	1500000.0	7500.0	.
93	2016	1665685.4	8328.4	.
93	2021	1500000.0	7500.0	.
93	2026	1500000.0	7500.0	.
93	2031	1500000.0	7500.0	.
93	2036	1500000.0	7500.0	.
94	2016	1665685.4	8328.4	.
94	2021	1500000.0	7500.0	.
94	2026	1500000.0	7500.0	.
94	2031	1500000.0	7500.0	.
94	2036	1500000.0	7500.0	.
95	2016	1665685.4	8328.4	.
95	2021	1500000.0	7500.0	.
95	2026	1500000.0	7500.0	.
95	2031	1500000.0	7500.0	.
95	2036	1500000.0	7500.0	.
96	2016	1665685.4	8328.4	.
96	2021	1500000.0	7500.0	.
96	2026	1500000.0	7500.0	.
96	2031	1500000.0	7500.0	.
96	2036	1500000.0	7500.0	.
97	2016	1665685.4	8328.4	.
97	2021	1500000.0	7500.0	.
97	2026	1500000.0	7500.0	.
97	2031	1500000.0	7500.0	.
97	2036	1500000.0	7500.0	.
98	2016	1665685.4	8328.4	.
98	2021	1500000.0	7500.0	.
98	2026	1500000.0	7500.0	.
98	2031	1500000.0	7500.0	.
98	2036	1500000.0	7500.0	.
99	2016	1665685.4	8328.4	.
99	2021	1500000.0	7500.0	.
99	2026	1500000.0	7500.0	.
99	2031	1500000.0	7500.0	.
99	2036	1500000.0	7500.0	.
100	2016	1665685.4	8328.4	.
100	2021	1500000.0	7500.0	.
100	2026	1500000.0	7500.0	.
100	2031	1500000.0	7500.0	.
100	2036	1500000.0	7500.0	.
101	2016	1665685.4	8328.4	.
101	2021	1500000.0	7500.0	.
101	2026	1500000.0	7500.0	.
101	2031	1500000.0	7500.0	.
101	2036	1500000.0	7500.0	.
102	2016	1665685.4	8328.4	.
102	2021	1500000.0	7500.0	.
102	2026	1500000.0	7500.0	.
102	2031	1500000.0	7500.0	.
102	2036	1500000.0	7500.0	.
103	2016	1665685.4	8328.4	.
103	2021	1500000.0	7500.0	.
103	2026	1500000.0	7500.0	.
103	2031	1500000.0	7500.0	.
103	2036	1500000.0	7500.0	.
104	2016	1665685.4	8328.4	.
104	2021	1500000.0	7500.0	.
104	2026	1500000.0	7500.0	.
104	2031	1500000.0	7500.0	.
104	2036	1500000.0	7500.0	.
105	2016	1665685.4	8328.4	.
105	2021	1500000.0	7500.0	.
105	2026	1500000.0	7500.0	.
105	2031	1500000.0	7500.0	.
105	2036	1500000.0	7500.0	.
106	2016	1665685.4	8328.4	.
106	2021	1500000.0	7500.0	.
