GENERATION_PROJECT	gen_tech	gen_energy_source	gen_load_zone	gen_max_age	gen_is_variable	gen_is_baseload	gen_full_load_heat_rate	gen_variable_om	gen_connect_cost_per_mw	gen_dbid	gen_scheduled_outage_rate	gen_forced_outage_rate	gen_capacity_limit_mw	gen_min_build_capacity	gen_is_cogen	gen_storage_efficiency	gen_store_to_release_ratio
44	Commercial_PV	Solar	Heilongjiang	20	TRUE	FALSE	.	0	0	44	0	0.02	206761.049	0	FALSE	0	0
45	Commercial_PV	Solar	Heilongjiang	20	TRUE	FALSE	.	0	0	45	0	0.02	59079.6215	0	FALSE	0	0
46	Commercial_PV	Solar	Henan	20	TRUE	FALSE	.	0	0	46	0	0.02	541911.102	0	FALSE	0	0
47	Commercial_PV	Solar	Henan	20	TRUE	FALSE	.	0	0	47	0	0.02	197957.117	0	FALSE	0	0
48	Commercial_PV	Solar	Henan	20	TRUE	FALSE	.	0	0	48	0	0.02	459850.504	0	FALSE	0	0
49	Commercial_PV	Solar	Henan	20	TRUE	FALSE	.	0	0	49	0	0.02	230212.941	0	FALSE	0	0
50	Commercial_PV	Solar	Henan	20	TRUE	FALSE	.	0	0	50	0	0.02	184030.369	0	FALSE	0	0
51	Commercial_PV	Solar	Henan	20	TRUE	FALSE	.	0	0	51	0	0.02	491192.237	0	FALSE	0	0
52	Commercial_PV	Solar	Chongqing	20	TRUE	FALSE	.	0	0	52	0	0.02	71995.6543	0	FALSE	0	0
53	Commercial_PV	Solar	Hubei	20	TRUE	FALSE	.	0	0	53	0	0.02	261614.329	0	FALSE	0	0
54	Commercial_PV	Solar	Hubei	20	TRUE	FALSE	.	0	0	54	0	0.02	93280.2981	0	FALSE	0	0
55	Commercial_PV	Solar	Hubei	20	TRUE	FALSE	.	0	0	55	0	0.02	14907.1622	0	FALSE	0	0
56	Commercial_PV	Solar	Hubei	20	TRUE	FALSE	.	0	0	56	0	0.02	115539.558	0	FALSE	0	0
57	Commercial_PV	Solar	Hubei	20	TRUE	FALSE	.	0	0	57	0	0.02	2207.96485	0	FALSE	0	0
58	Commercial_PV	Solar	Hubei	20	TRUE	FALSE	.	0	0	58	0	0.02	123806.75	0	FALSE	0	0
59	Commercial_PV	Solar	Hunan	20	TRUE	FALSE	.	0	0	59	0	0.02	25638.6747	0	FALSE	0	0
60	Commercial_PV	Solar	Hunan	20	TRUE	FALSE	.	0	0	60	0	0.02	34837.208	0	FALSE	0	0
61	Commercial_PV	Solar	Hunan	20	TRUE	FALSE	.	0	0	61	0	0.02	69333.8723	0	FALSE	0	0
62	Commercial_PV	Solar	Hunan	20	TRUE	FALSE	.	0	0	62	0	0.02	43461.7945	0	FALSE	0	0
63	Commercial_PV	Solar	Hunan	20	TRUE	FALSE	.	0	0	63	0	0.02	55822.1744	0	FALSE	0	0
64	Commercial_PV	Solar	Hunan	20	TRUE	FALSE	.	0	0	64	0	0.02	35448.0311	0	FALSE	0	0
65	Commercial_PV	Solar	West_Inner_Mongolia	20	TRUE	FALSE	.	0	0	65	0	0.02	147053.246	0	FALSE	0	0
66	Commercial_PV	Solar	West_Inner_Mongolia	20	TRUE	FALSE	.	0	0	66	0	0.02	165570.936	0	FALSE	0	0
67	Commercial_PV	Solar	West_Inner_Mongolia	20	TRUE	FALSE	.	0	0	67	0	0.02	33912.6306	0	FALSE	0	0
68	Commercial_PV	Solar	West_Inner_Mongolia	20	TRUE	FALSE	.	0	0	68	0	0.02	132317.119	0	FALSE	0	0
69	Commercial_PV	Solar	West_Inner_Mongolia	20	TRUE	FALSE	.	0	0	69	0	0.02	32775.0306	0	FALSE	0	0
70	Commercial_PV	Solar	East_Inner_Mongolia	20	TRUE	FALSE	.	0	0	70	0	0.02	115711.183	0	FALSE	0	0
71	Commercial_PV	Solar	East_Inner_Mongolia	20	TRUE	FALSE	.	0	0	71	0	0.02	254316.002	0	FALSE	0	0
72	Commercial_PV	Solar	West_Inner_Mongolia	20	TRUE	FALSE	.	0	0	72	0	0.02	9380.14402	0	FALSE	0	0
73	Commercial_PV	Solar	East_Inner_Mongolia	20	TRUE	FALSE	.	0	0	73	0	0.02	134663.707	0	FALSE	0	0
74	Commercial_PV	Solar	Jiangsu	20	TRUE	FALSE	.	0	0	74	0	0.02	250393.427	0	FALSE	0	0
75	Commercial_PV	Solar	Jiangsu	20	TRUE	FALSE	.	0	0	75	0	0.02	194952.051	0	FALSE	0	0
76	Commercial_PV	Solar	Jiangsu	20	TRUE	FALSE	.	0	0	76	0	0.02	205699.63	0	FALSE	0	0
77	Commercial_PV	Solar	Jiangsu	20	TRUE	FALSE	.	0	0	77	0	0.02	348373.674	0	FALSE	0	0
78	Commercial_PV	Solar	Jiangsu	20	TRUE	FALSE	.	0	0	78	0	0.02	450384.678	0	FALSE	0	0
79	Commercial_PV	Solar	Jiangxi	20	TRUE	FALSE	.	0	0	79	0	0.02	32227.9928	0	FALSE	0	0
80	Commercial_PV	Solar	Jiangxi	20	TRUE	FALSE	.	0	0	80	0	0.02	103736.45	0	FALSE	0	0
81	Commercial_PV	Solar	Jiangxi	20	TRUE	FALSE	.	0	0	81	0	0.02	50898.3346	0	FALSE	0	0
82	Commercial_PV	Solar	Jiangxi	20	TRUE	FALSE	.	0	0	82	0	0.02	51791.1481	0	FALSE	0	0
83	Commercial_PV	Solar	Jiangxi	20	TRUE	FALSE	.	0	0	83	0	0.02	80298.576	0	FALSE	0	0
84	Commercial_PV	Solar	Jilin	20	TRUE	FALSE	.	0	0	84	0	0.02	291611.589	0	FALSE	0	0
85	Commercial_PV	Solar	Jilin	20	TRUE	FALSE	.	0	0	85	0	0.02	241684.616	0	FALSE	0	0
86	Commercial_PV	Solar	Jilin	20	TRUE	FALSE	.	0	0	86	0	0.02	69810.2379	0	FALSE	0	0
87	Commercial_PV	Solar	Liaoning	20	TRUE	FALSE	.	0	0	87	0	0.02	297775.564	0	FALSE	0	0
88	Commercial_PV	Solar	Liaoning	20	TRUE	FALSE	.	0	0	88	0	0.02	136245.716	0	FALSE	0	0
89	Commercial_PV	Solar	Liaoning	20	TRUE	FALSE	.	0	0	89	0	0.02	308140.62	0	FALSE	0	0
90	Commercial_PV	Solar	Liaoning	20	TRUE	FALSE	.	0	0	90	0	0.02	241490.914	0	FALSE	0	0
91	Commercial_PV	Solar	Chongqing	20	TRUE	FALSE	.	0	0	91	0	0.02	1000	0	FALSE	0	0
92	Commercial_PV	Solar	Ningxia	20	TRUE	FALSE	.	0	0	92	0	0.02	25603.8437	0	FALSE	0	0
93	Commercial_PV	Solar	Ningxia	20	TRUE	FALSE	.	0	0	93	0	0.02	24166.2245	0	FALSE	0	0
94	Commercial_PV	Solar	Qinghai	20	TRUE	FALSE	.	0	0	94	0	0.02	60324.154	0	FALSE	0	0
95	Commercial_PV	Solar	Qinghai	20	TRUE	FALSE	.	0	0	95	0	0.02	3037.71305	0	FALSE	0	0
96	Commercial_PV	Solar	Shaanxi	20	TRUE	FALSE	.	0	0	96	0	0.02	229335.713	0	FALSE	0	0
97	Commercial_PV	Solar	Shaanxi	20	TRUE	FALSE	.	0	0	97	0	0.02	48539.3692	0	FALSE	0	0
