BLD_YRS_FOR_TX_1	BLD_YRS_FOR_TX_2	BuildTx
28-4	2016	0.0
28-4	2021	0.0
28-4	2026	0.0
28-4	2031	0.0
28-4	2036	0.0
28-5	2016	0.0
28-5	2021	0.0
28-5	2026	0.0
28-5	2031	0.0
28-5	2036	0.0
29-30	2016	0.0
29-30	2021	0.0
29-30	2026	0.0
29-30	2031	0.0
29-30	2036	0.0
29-4	2016	0.0
29-4	2021	0.0
29-4	2026	0.0
29-4	2031	0.0
29-4	2036	0.0
29-32	2016	0.0
29-32	2021	0.0
29-32	2026	0.0
29-32	2031	0.0
29-32	2036	0.0
30-4	2016	0.0
30-4	2021	0.0
30-4	2026	0.0
30-4	2031	0.0
30-4	2036	0.0
30-9	2016	0.0
30-9	2021	0.0
30-9	2026	0.0
30-9	2031	0.0
30-9	2036	0.0
30-6	2016	0.0
30-6	2021	0.0
30-6	2026	0.0
30-6	2031	0.0
30-6	2036	0.0
30-32	2016	0.0
30-32	2021	0.0
30-32	2026	0.0
30-32	2031	0.0
30-32	2036	0.0
14-7	2016	0.0
14-7	2021	0.0
14-7	2026	0.0
14-7	2031	0.0
14-7	2036	0.0
14-2	2016	0.0
14-2	2021	0.0
14-2	2026	0.0
14-2	2031	0.0
14-2	2036	0.0
14-22	2016	0.0
14-22	2021	0.0
14-22	2026	0.0
14-22	2031	0.0
14-22	2036	0.0
14-15	2016	0.0
14-15	2021	0.0
14-15	2026	0.0
14-15	2031	0.0
14-15	2036	0.0
14-16	2016	0.0
14-16	2021	0.0
14-16	2026	0.0
14-16	2031	0.0
14-16	2036	0.0
14-17	2016	0.0
14-17	2021	0.0
14-17	2026	0.0
14-17	2031	0.0
14-17	2036	0.0
14-18	2016	0.0
14-18	2021	0.0
14-18	2026	0.0
14-18	2031	0.0
14-18	2036	0.0
20-21	2016	0.0
20-21	2021	0.0
20-21	2026	0.0
20-21	2031	0.0
20-21	2036	10848.9343519
2-3	2016	0.0
2-3	2021	0.0
2-3	2026	0.0
2-3	2031	0.0
2-3	2036	0.0
2-26	2016	0.0
2-26	2021	0.0
2-26	2026	0.0
2-26	2031	0.0
2-26	2036	0.0
2-15	2016	0.0
2-15	2021	0.0
2-15	2026	0.0
2-15	2031	0.0
2-15	2036	0.0
2-16	2016	0.0
2-16	2021	0.0
2-16	2026	0.0
2-16	2031	0.0
2-16	2036	0.0
3-4	2016	0.0
3-4	2021	0.0
3-4	2026	0.0
3-4	2031	0.0
3-4	2036	0.0
3-5	2016	0.0
3-5	2021	0.0
3-5	2026	0.0
3-5	2031	0.0
3-5	2036	0.0
3-26	2016	0.0
3-26	2021	0.0
3-26	2026	0.0
3-26	2031	0.0
3-26	2036	0.0
4-5	2016	0.0
4-5	2021	0.0
4-5	2026	0.0
4-5	2031	0.0
4-5	2036	0.0
9-15	2016	0.0
9-15	2021	0.0
9-15	2026	0.0
9-15	2031	0.0
9-15	2036	0.0
9-10	2016	0.0
9-10	2021	0.0
9-10	2026	0.0
9-10	2031	0.0
9-10	2036	0.0
9-11	2016	0.0
9-11	2021	0.0
9-11	2026	0.0
9-11	2031	0.0
9-11	2036	680.409251695
5-11	2016	0.0
5-11	2021	0.0
5-11	2026	0.0
5-11	2031	0.0
5-11	2036	0.0
21-22	2016	0.0
21-22	2021	0.0
21-22	2026	0.0
21-22	2031	0.0
21-22	2036	0.0
24-26	2016	0.0
24-26	2021	0.0
24-26	2026	0.0
24-26	2031	0.0
24-26	2036	0.0
24-15	2016	0.0
24-15	2021	0.0
24-15	2026	0.0
24-15	2031	0.0
24-15	2036	0.0
24-18	2016	0.0
24-18	2021	0.0
24-18	2026	0.0
24-18	2031	0.0
24-18	2036	0.0
24-11	2016	0.0
24-11	2021	0.0
24-11	2026	0.0
24-11	2031	0.0
24-11	2036	0.0
25-6	2016	0.0
25-6	2021	0.0
25-6	2026	0.0
25-6	2031	0.0
25-6	2036	0.0
25-34	2016	0.0
25-34	2021	0.0
25-34	2026	0.0
25-34	2031	0.0
25-34	2036	0.0
25-27	2016	0.0
25-27	2021	0.0
25-27	2026	0.0
25-27	2031	0.0
25-27	2036	0.0
26-9	2016	0.0
26-9	2021	0.0
26-9	2026	0.0
26-9	2031	0.0
26-9	2036	0.0
26-16	2016	0.0
26-16	2021	0.0
26-16	2026	0.0
26-16	2031	0.0
26-16	2036	0.0
26-6	2016	0.0
26-6	2021	0.0
