GENERATION_PROJECT	PERIOD	gen_tech	gen_load_zone	gen_energy_source	GenCapacity	GenCapitalCosts	GenFixedOMCosts
77	2036	Commercial_PV	Jiangsu	Solar	0	0	0
78	2016	Commercial_PV	Jiangsu	Solar	0	0	0
78	2021	Commercial_PV	Jiangsu	Solar	0	0	0
78	2026	Commercial_PV	Jiangsu	Solar	0	0	0
78	2031	Commercial_PV	Jiangsu	Solar	0	0	0
78	2036	Commercial_PV	Jiangsu	Solar	0	0	0
79	2016	Commercial_PV	Jiangxi	Solar	0	0	0
79	2021	Commercial_PV	Jiangxi	Solar	0	0	0
79	2026	Commercial_PV	Jiangxi	Solar	0	0	0
79	2031	Commercial_PV	Jiangxi	Solar	0	0	0
79	2036	Commercial_PV	Jiangxi	Solar	0	0	0
80	2016	Commercial_PV	Jiangxi	Solar	0	0	0
80	2021	Commercial_PV	Jiangxi	Solar	0	0	0
80	2026	Commercial_PV	Jiangxi	Solar	0	0	0
80	2031	Commercial_PV	Jiangxi	Solar	0	0	0
80	2036	Commercial_PV	Jiangxi	Solar	0	0	0
81	2016	Commercial_PV	Jiangxi	Solar	0	0	0
81	2021	Commercial_PV	Jiangxi	Solar	0	0	0
81	2026	Commercial_PV	Jiangxi	Solar	0	0	0
81	2031	Commercial_PV	Jiangxi	Solar	0	0	0
81	2036	Commercial_PV	Jiangxi	Solar	0	0	0
82	2016	Commercial_PV	Jiangxi	Solar	0	0	0
82	2021	Commercial_PV	Jiangxi	Solar	0	0	0
82	2026	Commercial_PV	Jiangxi	Solar	0	0	0
82	2031	Commercial_PV	Jiangxi	Solar	0	0	0
82	2036	Commercial_PV	Jiangxi	Solar	0	0	0
83	2016	Commercial_PV	Jiangxi	Solar	0	0	0
83	2021	Commercial_PV	Jiangxi	Solar	0	0	0
83	2026	Commercial_PV	Jiangxi	Solar	0	0	0
83	2031	Commercial_PV	Jiangxi	Solar	0	0	0
83	2036	Commercial_PV	Jiangxi	Solar	0	0	0
84	2016	Commercial_PV	Jilin	Solar	0	0	0
84	2021	Commercial_PV	Jilin	Solar	0	0	0
84	2026	Commercial_PV	Jilin	Solar	0	0	0
84	2031	Commercial_PV	Jilin	Solar	0	0	0
84	2036	Commercial_PV	Jilin	Solar	0	0	0
85	2016	Commercial_PV	Jilin	Solar	0	0	0
85	2021	Commercial_PV	Jilin	Solar	0	0	0
85	2026	Commercial_PV	Jilin	Solar	0	0	0
85	2031	Commercial_PV	Jilin	Solar	0	0	0
85	2036	Commercial_PV	Jilin	Solar	0	0	0
86	2016	Commercial_PV	Jilin	Solar	0	0	0
86	2021	Commercial_PV	Jilin	Solar	0	0	0
86	2026	Commercial_PV	Jilin	Solar	0	0	0
86	2031	Commercial_PV	Jilin	Solar	0	0	0
86	2036	Commercial_PV	Jilin	Solar	0	0	0
87	2016	Commercial_PV	Liaoning	Solar	0	0	0
87	2021	Commercial_PV	Liaoning	Solar	0	0	0
87	2026	Commercial_PV	Liaoning	Solar	0	0	0
87	2031	Commercial_PV	Liaoning	Solar	0	0	0
87	2036	Commercial_PV	Liaoning	Solar	0	0	0
88	2016	Commercial_PV	Liaoning	Solar	0	0	0
88	2021	Commercial_PV	Liaoning	Solar	0	0	0
88	2026	Commercial_PV	Liaoning	Solar	0	0	0
88	2031	Commercial_PV	Liaoning	Solar	0	0	0
88	2036	Commercial_PV	Liaoning	Solar	0	0	0
89	2016	Commercial_PV	Liaoning	Solar	0	0	0
89	2021	Commercial_PV	Liaoning	Solar	0	0	0
89	2026	Commercial_PV	Liaoning	Solar	0	0	0
89	2031	Commercial_PV	Liaoning	Solar	0	0	0
89	2036	Commercial_PV	Liaoning	Solar	0	0	0
90	2016	Commercial_PV	Liaoning	Solar	0	0	0
90	2021	Commercial_PV	Liaoning	Solar	0	0	0
90	2026	Commercial_PV	Liaoning	Solar	0	0	0
90	2031	Commercial_PV	Liaoning	Solar	0	0	0
90	2036	Commercial_PV	Liaoning	Solar	0	0	0
91	2016	Commercial_PV	Chongqing	Solar	0	0	0
91	2021	Commercial_PV	Chongqing	Solar	0	0	0
91	2026	Commercial_PV	Chongqing	Solar	0	0	0
91	2031	Commercial_PV	Chongqing	Solar	0	0	0
91	2036	Commercial_PV	Chongqing	Solar	0	0	0
92	2016	Commercial_PV	Ningxia	Solar	0	0	0
92	2021	Commercial_PV	Ningxia	Solar	0	0	0
92	2026	Commercial_PV	Ningxia	Solar	0	0	0
92	2031	Commercial_PV	Ningxia	Solar	0	0	0
92	2036	Commercial_PV	Ningxia	Solar	0	0	0
93	2016	Commercial_PV	Ningxia	Solar	0	0	0
93	2021	Commercial_PV	Ningxia	Solar	0	0	0
93	2026	Commercial_PV	Ningxia	Solar	0	0	0
93	2031	Commercial_PV	Ningxia	Solar	0	0	0
93	2036	Commercial_PV	Ningxia	Solar	0	0	0
94	2016	Commercial_PV	Qinghai	Solar	0	0	0
94	2021	Commercial_PV	Qinghai	Solar	0	0	0
94	2026	Commercial_PV	Qinghai	Solar	0	0	0
94	2031	Commercial_PV	Qinghai	Solar	0	0	0
94	2036	Commercial_PV	Qinghai	Solar	0	0	0
