PERIOD,EnergyCost_per_MWh,SystemCostPerPeriod
2016,18.022942661603828,661608507946.6417
2021,12.051572468328672,477533917298.7943
2026,8.838200686223772,469738103588.60724
2031,7.158341100600006,429094111225.53577
2036,5.696039609814075,393466556659.46625
