DispatchBaseloadByPeriod_index_1	DispatchBaseloadByPeriod_index_2	DispatchBaseloadByPeriod
60004	2021	799.7777919999999
60004	2026	799.7777919999999
60004	2031	799.7777919999999
60004	2036	799.7777919999999
60005	2016	0.0
60005	2021	251.60577023999997
60005	2026	251.60577024000008
60005	2031	251.60577024000003
60005	2036	251.60577024000003
60006	2016	0.0
60006	2021	528.28565504
60006	2026	528.2856550400002
60006	2031	528.2856550400002
60006	2036	528.2856550400002
60007	2016	0.0
60007	2021	528.2856550400002
60007	2026	528.2856550400002
60007	2031	528.2856550400002
60007	2036	528.2856550400002
60008	2016	0.0
60008	2021	528.2856550400002
60008	2026	528.28565504
60008	2031	528.2856550400002
60008	2036	528.2856550400002
60009	2016	0.0
60009	2021	528.2856550400002
60009	2026	528.28565504
60009	2031	528.2856550399999
60009	2036	528.2856550399999
60010	2016	0.0
60010	2021	601.77874944
60010	2026	601.77874944
60010	2031	601.77874944
60010	2036	601.7787494400004
60011	2016	0.0
60011	2021	601.77874944
60011	2026	601.77874944
60011	2031	601.77874944
60011	2036	601.77874944
60012	2016	0.0
60012	2021	861.16614144
60012	2026	861.16614144
60012	2031	861.16614144
60012	2036	861.16614144
60013	2016	0.0
60013	2021	861.16614144
60013	2026	861.16614144
60013	2031	861.16614144
60013	2036	861.16614144
60014	2016	0.0
60014	2021	877.5940096000004
60014	2026	877.5940095999995
60014	2031	877.5940095999995
60014	2036	877.5940095999999
60015	2016	0.0
60015	2021	877.5940096000004
60015	2026	877.5940096
60015	2031	877.5940096000004
60015	2036	877.5940096000004
60016	2016	0.0
60016	2021	877.5940096000002
60016	2026	877.5940096
60016	2031	877.5940096
60016	2036	877.5940096000002
60017	2016	0.0
60017	2021	877.5940095999999
60017	2026	877.5940096000002
60017	2031	877.5940095999999
60017	2036	877.5940095999999
60018	2016	0.0
60018	2021	877.5940096
60018	2026	877.5940096
60018	2031	877.5940096
60018	2036	877.5940096
60019	2016	0.0
60019	2021	877.5940096
60019	2026	877.5940095999999
60019	2031	877.5940096
60019	2036	877.5940096
60020	2016	0.0
60020	2021	877.5940096000002
60020	2026	877.5940096
60020	2031	877.5940096000002
60020	2036	877.5940096000002
60021	2016	0.0
60021	2021	877.5940096
60021	2026	877.5940096
60021	2031	877.5940096
60021	2036	877.5940096
60022	2016	0.0
60022	2021	877.5940096
60022	2026	877.5940096000002
60022	2031	877.5940096000002
60022	2036	877.5940096
60027	2016	0.0
60027	2021	877.5940096000004
60027	2026	877.5940095999999
60027	2031	877.5940095999999
60027	2036	877.5940095999999
60028	2016	0.0
60028	2021	877.5940095999999
60028	2026	877.5940096000004
60028	2031	877.5940096000004
60028	2036	877.5940095999999
60029	2016	0.0
60029	2021	877.5940096000004
60029	2026	877.5940096000004
60029	2031	877.5940096000004
60029	2036	877.5940096000004
60030	2016	0.0
60030	2021	877.5940096000004
60030	2026	877.5940095999999
60030	2031	877.5940095999999
60030	2036	877.5940095999999
60033	2016	0.0
60033	2021	1015.9339520000003
60033	2026	1015.9339520000003
60033	2031	1015.9339520000003
60033	2036	1015.9339520000003
60035	2016	0.0
60035	2021	1015.9339520000001
60035	2026	1015.9339520000001
60035	2031	1015.9339520000001
60035	2036	1015.9339520000001
60036	2016	0.0
60036	2021	1015.9339520000001
60036	2026	1015.9339520000001
60036	2031	1015.9339520000001
60036	2036	1015.9339520000001
60037	2016	0.0
60037	2021	1438.7354009600003
60037	2026	1438.7354009600003
60037	2031	1438.7354009599994
60037	2036	1438.7354009599999
60038	2016	0.0
60038	2021	1438.73540096
60038	2026	1438.7354009600003
60038	2031	1438.7354009599999
60038	2036	1438.7354009600003
60039	2016	336.90305047160996
60039	2021	528.28565504
60039	2026	528.28565504
60039	2031	528.28565504
60039	2036	528.28565504
60041	2016	0.0
60041	2021	877.5940096
60041	2026	877.5940096
60041	2031	877.5940096
60041	2036	877.5940096
60042	2016	0.0
60042	2021	877.5940096
60042	2026	877.5940096
60042	2031	877.5940096
60042	2036	877.5940096
60102	2016	0.0
60102	2021	0.0
60102	2026	0.0
60102	2031	0.0
60102	2036	0.0
60103	2016	0.0
60103	2021	0.0
60103	2026	0.0
60103	2031	0.0
60103	2036	0.0
60104	2016	0.0
60104	2021	0.0
60104	2026	0.0
60104	2031	0.0
60104	2036	0.0
60105	2016	0.0
60105	2021	0.0
60105	2026	0.0
60105	2031	0.0
60105	2036	0.0
