TRANS_TIMEPOINTS_1	TRANS_TIMEPOINTS_2	TRANS_TIMEPOINTS_3	DispatchTx
Ningxia	Zhejiang	206170	0.0
Ningxia	Zhejiang	206174	0.0
Ningxia	Zhejiang	206178	0.0
Ningxia	Zhejiang	206182	0.0
Ningxia	Zhejiang	206450	0.0
Ningxia	Zhejiang	206454	0.0
Ningxia	Zhejiang	206458	0.0
Ningxia	Zhejiang	206462	0.0
Ningxia	Zhejiang	206466	0.0
Ningxia	Zhejiang	206470	0.0
Ningxia	Zhejiang	251282	0.0
Ningxia	Zhejiang	251286	0.0
Ningxia	Zhejiang	251290	0.0
Ningxia	Zhejiang	251294	0.0
Ningxia	Zhejiang	251298	0.0
Ningxia	Zhejiang	251302	0.0
Ningxia	Zhejiang	251498	7200.0
Ningxia	Zhejiang	251502	0.0
Ningxia	Zhejiang	251506	0.0
Ningxia	Zhejiang	251510	0.0
Ningxia	Zhejiang	251514	0.0
Ningxia	Zhejiang	251518	0.0
Gansu	Sichuan	70873	0.0
Gansu	Sichuan	70877	0.0
Gansu	Sichuan	70881	0.0
Gansu	Sichuan	70885	0.0
Gansu	Sichuan	70889	0.0
Gansu	Sichuan	70893	0.0
Gansu	Sichuan	71065	0.0
Gansu	Sichuan	71069	0.0
Gansu	Sichuan	71073	0.0
Gansu	Sichuan	71077	0.0
Gansu	Sichuan	71081	0.0
Gansu	Sichuan	71085	0.0
Gansu	Sichuan	116905	0.0
Gansu	Sichuan	116909	0.0
Gansu	Sichuan	116913	0.0
Gansu	Sichuan	116917	0.0
Gansu	Sichuan	116921	0.0
Gansu	Sichuan	116925	0.0
Gansu	Sichuan	116977	0.0
Gansu	Sichuan	116981	0.0
Gansu	Sichuan	116985	0.0
Gansu	Sichuan	116989	0.0
Gansu	Sichuan	116993	0.0
Gansu	Sichuan	116997	0.0
Gansu	Sichuan	161497	0.0
Gansu	Sichuan	161501	0.0
Gansu	Sichuan	161505	0.0
Gansu	Sichuan	161509	0.0
Gansu	Sichuan	161513	0.0
Gansu	Sichuan	161517	0.0
Gansu	Sichuan	161641	0.0
Gansu	Sichuan	161645	0.0
Gansu	Sichuan	161649	0.0
Gansu	Sichuan	161653	0.0
Gansu	Sichuan	161657	0.0
Gansu	Sichuan	161661	0.0
Gansu	Sichuan	206162	0.0
Gansu	Sichuan	206166	0.0
Gansu	Sichuan	206170	0.0
Gansu	Sichuan	206174	0.0
Gansu	Sichuan	206178	0.0
Gansu	Sichuan	206182	0.0
Gansu	Sichuan	206450	0.0
Gansu	Sichuan	206454	0.0
Gansu	Sichuan	206458	0.0
Gansu	Sichuan	206462	0.0
Gansu	Sichuan	206466	0.0
Gansu	Sichuan	206470	0.0
Gansu	Sichuan	251282	0.0
Gansu	Sichuan	251286	0.0
Gansu	Sichuan	251290	0.0
Gansu	Sichuan	251294	0.0
Gansu	Sichuan	251298	0.0
Gansu	Sichuan	251302	0.0
Gansu	Sichuan	251498	0.0
Gansu	Sichuan	251502	0.0
Gansu	Sichuan	251506	0.0
Gansu	Sichuan	251510	0.0
Gansu	Sichuan	251514	0.0
Gansu	Sichuan	251518	0.0
Jiangsu	Zhejiang	70873	0.0
Jiangsu	Zhejiang	70877	0.0
Jiangsu	Zhejiang	70881	0.0
Jiangsu	Zhejiang	70885	0.0
Jiangsu	Zhejiang	70889	0.0
Jiangsu	Zhejiang	70893	0.0
Jiangsu	Zhejiang	71065	0.0
Jiangsu	Zhejiang	71069	0.0
Jiangsu	Zhejiang	71073	0.0
Jiangsu	Zhejiang	71077	0.0
Jiangsu	Zhejiang	71081	0.0
Jiangsu	Zhejiang	71085	0.0
Jiangsu	Zhejiang	116905	0.0
Jiangsu	Zhejiang	116909	0.0
Jiangsu	Zhejiang	116913	0.0
Jiangsu	Zhejiang	116917	0.0
Jiangsu	Zhejiang	116921	0.0
Jiangsu	Zhejiang	116925	0.0
Jiangsu	Zhejiang	116977	0.0
Jiangsu	Zhejiang	116981	0.0
Jiangsu	Zhejiang	116985	0.0
Jiangsu	Zhejiang	116989	0.0
Jiangsu	Zhejiang	116993	0.0
Jiangsu	Zhejiang	116997	0.0
Jiangsu	Zhejiang	161497	0.0
Jiangsu	Zhejiang	161501	0.0
Jiangsu	Zhejiang	161505	0.0
Jiangsu	Zhejiang	161509	0.0
Jiangsu	Zhejiang	161513	0.0
Jiangsu	Zhejiang	161517	0.0
Jiangsu	Zhejiang	161641	0.0
Jiangsu	Zhejiang	161645	0.0
Jiangsu	Zhejiang	161649	0.0
Jiangsu	Zhejiang	161653	0.0
Jiangsu	Zhejiang	161657	0.0
Jiangsu	Zhejiang	161661	0.0
Jiangsu	Zhejiang	206162	0.0
Jiangsu	Zhejiang	206166	7500.0
Jiangsu	Zhejiang	206170	7500.0
Jiangsu	Zhejiang	206174	0.0
Jiangsu	Zhejiang	206178	0.0
Jiangsu	Zhejiang	206182	0.0
Jiangsu	Zhejiang	206450	0.0
Jiangsu	Zhejiang	206454	7500.0
Jiangsu	Zhejiang	206458	7500.0
Jiangsu	Zhejiang	206462	0.0
Jiangsu	Zhejiang	206466	0.0
Jiangsu	Zhejiang	206470	0.0
Jiangsu	Zhejiang	251282	0.0
Jiangsu	Zhejiang	251286	8180.409251694738
Jiangsu	Zhejiang	251290	8180.409251694738
Jiangsu	Zhejiang	251294	0.0
Jiangsu	Zhejiang	251298	0.0
Jiangsu	Zhejiang	251302	0.0
Jiangsu	Zhejiang	251498	8180.409251694738
Jiangsu	Zhejiang	251502	8180.409251694738
Jiangsu	Zhejiang	251506	8180.409251694738
Jiangsu	Zhejiang	251510	8180.409251694738
Jiangsu	Zhejiang	251514	0.0
Jiangsu	Zhejiang	251518	0.0
East_Inner_Mongolia	Hebei	70873	0.0
East_Inner_Mongolia	Hebei	70877	0.0
East_Inner_Mongolia	Hebei	70881	0.0
East_Inner_Mongolia	Hebei	70885	0.0
East_Inner_Mongolia	Hebei	70889	0.0
East_Inner_Mongolia	Hebei	70893	0.0
East_Inner_Mongolia	Hebei	71065	0.0
East_Inner_Mongolia	Hebei	71069	0.0
East_Inner_Mongolia	Hebei	71073	0.0
East_Inner_Mongolia	Hebei	71077	0.0
East_Inner_Mongolia	Hebei	71081	0.0
East_Inner_Mongolia	Hebei	71085	0.0
East_Inner_Mongolia	Hebei	116905	0.0
East_Inner_Mongolia	Hebei	116909	0.0
East_Inner_Mongolia	Hebei	116913	0.0
East_Inner_Mongolia	Hebei	116917	0.0
East_Inner_Mongolia	Hebei	116921	0.0
East_Inner_Mongolia	Hebei	116925	0.0
East_Inner_Mongolia	Hebei	116977	0.0
East_Inner_Mongolia	Hebei	116981	0.0
East_Inner_Mongolia	Hebei	116985	0.0
East_Inner_Mongolia	Hebei	116989	0.0
East_Inner_Mongolia	Hebei	116993	0.0
East_Inner_Mongolia	Hebei	116997	0.0
East_Inner_Mongolia	Hebei	161497	0.0
East_Inner_Mongolia	Hebei	161501	0.0
East_Inner_Mongolia	Hebei	161505	0.0
East_Inner_Mongolia	Hebei	161509	0.0
East_Inner_Mongolia	Hebei	161513	0.0
East_Inner_Mongolia	Hebei	161517	0.0
East_Inner_Mongolia	Hebei	161641	0.0
East_Inner_Mongolia	Hebei	161645	0.0
East_Inner_Mongolia	Hebei	161649	0.0
East_Inner_Mongolia	Hebei	161653	0.0
East_Inner_Mongolia	Hebei	161657	0.0
East_Inner_Mongolia	Hebei	161661	0.0
East_Inner_Mongolia	Hebei	206162	0.0
East_Inner_Mongolia	Hebei	206166	0.0
East_Inner_Mongolia	Hebei	206170	0.0
East_Inner_Mongolia	Hebei	206174	0.0
East_Inner_Mongolia	Hebei	206178	0.0
East_Inner_Mongolia	Hebei	206182	0.0
East_Inner_Mongolia	Hebei	206450	0.0
East_Inner_Mongolia	Hebei	206454	0.0
East_Inner_Mongolia	Hebei	206458	0.0
East_Inner_Mongolia	Hebei	206462	0.0
East_Inner_Mongolia	Hebei	206466	0.0
East_Inner_Mongolia	Hebei	206470	0.0
East_Inner_Mongolia	Hebei	251282	0.0
East_Inner_Mongolia	Hebei	251286	0.0
East_Inner_Mongolia	Hebei	251290	0.0
East_Inner_Mongolia	Hebei	251294	0.0
East_Inner_Mongolia	Hebei	251298	0.0
East_Inner_Mongolia	Hebei	251302	0.0
East_Inner_Mongolia	Hebei	251498	0.0
East_Inner_Mongolia	Hebei	251502	0.0
East_Inner_Mongolia	Hebei	251506	0.0
East_Inner_Mongolia	Hebei	251510	0.0
East_Inner_Mongolia	Hebei	251514	0.0
East_Inner_Mongolia	Hebei	251518	0.0
Jiangsu	East_Inner_Mongolia	70873	0.0
