GEN_TPS_1	GEN_TPS_2	DispatchGen
N-Geothermal	1	0.96858075
N-Geothermal	2	0.96858075
N-Geothermal	3	0.96858075
N-Geothermal	4	0.96858075
N-Geothermal	5	0.96858075
N-Geothermal	6	0.96858075
N-Geothermal	7	0.96858075
N-Coal_IGCC	1	0.0
N-Coal_IGCC	2	0.0
N-Coal_IGCC	3	0.0
N-Coal_IGCC	4	0.0
N-Coal_IGCC	5	0.0
N-Coal_IGCC	6	0.0
N-Coal_IGCC	7	0.0
N-Coal_IGCC_CCS	1	0.0
N-Coal_IGCC_CCS	2	0.0
N-Coal_IGCC_CCS	3	0.0
N-Coal_IGCC_CCS	4	0.0
N-Coal_IGCC_CCS	5	0.0
N-Coal_IGCC_CCS	6	0.0
N-Coal_IGCC_CCS	7	0.0
N-Coal_ST	1	1.692
N-Coal_ST	2	1.692
N-Coal_ST	3	1.692
N-Coal_ST	4	1.692
N-Coal_ST	5	1.692
N-Coal_ST	6	1.692
N-Coal_ST	7	1.692
N-NG_CC	1	1.88
N-NG_CC	2	1.5632840863252382
N-NG_CC	3	1.88
N-NG_CC	4	1.7744773281415
N-NG_CC	5	1.6071190704480582
N-NG_CC	6	1.88
N-NG_CC	7	1.88
N-NG_CC_CCS	1	0.0
N-NG_CC_CCS	2	0.0
N-NG_CC_CCS	3	0.0
N-NG_CC_CCS	4	0.0
N-NG_CC_CCS	5	0.0
N-NG_CC_CCS	6	0.0
N-NG_CC_CCS	7	0.0
N-NG_GT	1	0.0
N-NG_GT	2	0.0
N-NG_GT	3	0.0
N-NG_GT	4	0.0
N-NG_GT	5	0.0
N-NG_GT	6	1.7952165044878579
N-NG_GT	7	0.0
N-Nuclear	1	0.0
N-Nuclear	2	0.0
N-Nuclear	3	0.0
N-Nuclear	4	0.0
N-Nuclear	5	0.0
N-Nuclear	6	0.0
N-Nuclear	7	0.0
N-Biomass_IGCC	1	0.0
N-Biomass_IGCC	2	0.0
N-Biomass_IGCC	3	0.0
N-Biomass_IGCC	4	0.0
N-Biomass_IGCC	5	0.0
N-Biomass_IGCC	6	0.0
N-Biomass_IGCC	7	0.0
N-Biomass_IGCC_CCS	1	0.0
N-Biomass_IGCC_CCS	2	0.0
N-Biomass_IGCC_CCS	3	0.0
N-Biomass_IGCC_CCS	4	0.0
N-Biomass_IGCC_CCS	5	0.0
N-Biomass_IGCC_CCS	6	0.0
N-Biomass_IGCC_CCS	7	0.0
N-Residential_PV	1	0.0
N-Residential_PV	2	0.0
N-Residential_PV	3	0.0
N-Residential_PV	4	0.0
N-Residential_PV	5	0.0
N-Residential_PV	6	0.0
N-Residential_PV	7	0.0
N-Commercial_PV	1	0.0
N-Commercial_PV	2	0.0
N-Commercial_PV	3	0.0
N-Commercial_PV	4	0.0
N-Commercial_PV	5	0.0
N-Commercial_PV	6	0.0
N-Commercial_PV	7	0.0
N-Central_PV-1	1	0.0
N-Central_PV-1	2	0.0
N-Central_PV-1	3	0.0
N-Central_PV-1	4	0.0
N-Central_PV-1	5	0.0
N-Central_PV-1	6	0.0
N-Central_PV-1	7	0.0
N-Central_PV-2	1	0.0
N-Central_PV-2	2	0.0
N-Central_PV-2	3	0.0
N-Central_PV-2	4	0.0
N-Central_PV-2	5	0.0
N-Central_PV-2	6	0.0
N-Central_PV-2	7	0.0
N-Wind-1	1	0.0
N-Wind-1	2	0.0
N-Wind-1	3	0.0
N-Wind-1	4	0.0
N-Wind-1	5	0.0
N-Wind-1	6	0.0
N-Wind-1	7	3.1808
N-Wind-2	1	0.0
N-Wind-2	2	0.0
N-Wind-2	3	0.0
N-Wind-2	4	0.0
N-Wind-2	5	0.0
N-Wind-2	6	0.0
N-Wind-2	7	0.86478
C-Coal_IGCC	1	0.0
C-Coal_IGCC	2	0.0
C-Coal_IGCC	3	0.0
C-Coal_IGCC	4	0.0
C-Coal_IGCC	5	0.0
C-Coal_IGCC	6	0.0
C-Coal_IGCC	7	0.0
C-Coal_ST	1	1.692
C-Coal_ST	2	1.692
C-Coal_ST	3	1.692
C-Coal_ST	4	1.692
C-Coal_ST	5	1.692
C-Coal_ST	6	1.692
C-Coal_ST	7	0.0
C-NG_CC	1	2.32954834317802
C-NG_CC	2	1.475898627243929
C-NG_CC	3	2.32954834317802
C-NG_CC	4	1.7926884899683213
C-NG_CC	5	2.32954834317802
C-NG_CC	6	2.32954834317802
C-NG_CC	7	1173.3972833564812
C-NG_GT	1	0.0
C-NG_GT	2	0.0
C-NG_GT	3	0.0
C-NG_GT	4	0.0
C-NG_GT	5	0.0
C-NG_GT	6	1.88
C-NG_GT	7	0.0
C-Nuclear	1	0.0
C-Nuclear	2	0.0
C-Nuclear	3	0.0
C-Nuclear	4	0.0
C-Nuclear	5	0.0
C-Nuclear	6	0.0
C-Nuclear	7	0.0
C-Biomass_IGCC	1	0.0
C-Biomass_IGCC	2	0.0
C-Biomass_IGCC	3	0.0
C-Biomass_IGCC	4	0.0
C-Biomass_IGCC	5	0.0
C-Biomass_IGCC	6	0.0
C-Biomass_IGCC	7	0.0
C-Residential_PV	1	0.0
C-Residential_PV	2	0.0
C-Residential_PV	3	0.0
C-Residential_PV	4	0.0
C-Residential_PV	5	0.0
C-Residential_PV	6	0.0
C-Residential_PV	7	0.0
C-Commercial_PV	1	0.0
C-Commercial_PV	2	0.0
C-Commercial_PV	3	0.0
C-Commercial_PV	4	0.0
C-Commercial_PV	5	0.0
C-Commercial_PV	6	0.0
C-Commercial_PV	7	0.0
C-Central_PV-1	1	0.0
C-Central_PV-1	2	0.0
C-Central_PV-1	3	0.0
C-Central_PV-1	4	0.0
C-Central_PV-1	5	0.0
C-Central_PV-1	6	0.0
C-Central_PV-1	7	0.0
C-Central_PV-2	1	0.0
C-Central_PV-2	2	0.0
C-Central_PV-2	3	0.0
